product_id,date,hour,facings_count
100001,2022-01-03,8,3
100002,2022-01-03,8,5
100003,2022-01-03,8,1
100004,2022-01-03,8,3
100005,2022-01-03,8,5
100006,2022-01-03,8,5
100007,2022-01-03,8,4
100008,2022-01-03,8,4
100009,2022-01-03,8,1
100010,2022-01-03,8,6
100011,2022-01-03,8,2
100012,2022-01-03,8,2
100013,2022-01-03,8,5
100014,2022-01-03,8,0
100015,2022-01-03,8,1
100016,2022-01-03,8,4
100017,2022-01-03,8,3
100018,2022-01-03,8,0
100019,2022-01-03,8,6
100020,2022-01-03,8,3
100021,2022-01-03,8,5
100022,2022-01-03,8,0
100023,2022-01-03,8,3
100024,2022-01-03,8,1
100025,2022-01-03,8,1
100026,2022-01-03,8,4
100027,2022-01-03,8,4
100028,2022-01-03,8,2
100029,2022-01-03,8,6
100030,2022-01-03,8,1
100031,2022-01-03,8,6
100032,2022-01-03,8,6
100033,2022-01-03,8,6
100034,2022-01-03,8,5
100035,2022-01-03,8,2
100036,2022-01-03,8,2
100037,2022-01-03,8,2
100038,2022-01-03,8,6
100039,2022-01-03,8,2
100040,2022-01-03,8,1
100041,2022-01-03,8,2
100042,2022-01-03,8,2
100043,2022-01-03,8,5
100044,2022-01-03,8,2
100045,2022-01-03,8,3
100046,2022-01-03,8,3
100047,2022-01-03,8,2
100048,2022-01-03,8,0
100049,2022-01-03,8,2
100050,2022-01-03,8,1
100051,2022-01-03,8,6
100052,2022-01-03,8,0
100053,2022-01-03,8,0
100054,2022-01-03,8,6
100055,2022-01-03,8,3
100056,2022-01-03,8,1
100057,2022-01-03,8,5
100058,2022-01-03,8,2
100059,2022-01-03,8,6
100060,2022-01-03,8,0
100061,2022-01-03,8,4
100062,2022-01-03,8,3
100063,2022-01-03,8,1
100064,2022-01-03,8,2
100065,2022-01-03,8,4
100066,2022-01-03,8,3
100067,2022-01-03,8,5
100068,2022-01-03,8,0
100069,2022-01-03,8,5
100070,2022-01-03,8,5
100071,2022-01-03,8,4
100072,2022-01-03,8,5
100073,2022-01-03,8,6
100074,2022-01-03,8,6
100075,2022-01-03,8,2
100076,2022-01-03,8,4
100077,2022-01-03,8,3
100078,2022-01-03,8,1
100079,2022-01-03,8,3
100080,2022-01-03,8,2
100081,2022-01-03,8,2
100082,2022-01-03,8,0
100083,2022-01-03,8,0
100084,2022-01-03,8,5
100085,2022-01-03,8,0
100086,2022-01-03,8,6
100087,2022-01-03,8,1
100088,2022-01-03,8,0
100089,2022-01-03,8,2
100090,2022-01-03,8,1
100091,2022-01-03,8,3
100092,2022-01-03,8,5
100093,2022-01-03,8,2
100094,2022-01-03,8,6
100095,2022-01-03,8,3
100096,2022-01-03,8,3
100097,2022-01-03,8,2
100098,2022-01-03,8,6
100099,2022-01-03,8,4
100001,2022-01-03,12,3
100002,2022-01-03,12,5
100003,2022-01-03,12,1
100004,2022-01-03,12,0
100005,2022-01-03,12,5
100006,2022-01-03,12,5
100007,2022-01-03,12,4
100008,2022-01-03,12,0
100009,2022-01-03,12,1
100010,2022-01-03,12,6
100011,2022-01-03,12,2
100012,2022-01-03,12,2
100013,2022-01-03,12,5
100014,2022-01-03,12,6
100015,2022-01-03,12,1
100016,2022-01-03,12,4
100017,2022-01-03,12,3
100018,2022-01-03,12,5
100019,2022-01-03,12,6
100020,2022-01-03,12,3
100021,2022-01-03,12,5
100022,2022-01-03,12,0
100023,2022-01-03,12,3
100024,2022-01-03,12,1
100025,2022-01-03,12,1
100026,2022-01-03,12,4
100027,2022-01-03,12,4
100028,2022-01-03,12,2
100029,2022-01-03,12,6
100030,2022-01-03,12,1
100031,2022-01-03,12,6
100032,2022-01-03,12,6
100033,2022-01-03,12,6
100034,2022-01-03,12,0
100035,2022-01-03,12,0
100036,2022-01-03,12,2
100037,2022-01-03,12,2
100038,2022-01-03,12,6
100039,2022-01-03,12,2
100040,2022-01-03,12,1
100041,2022-01-03,12,2
100042,2022-01-03,12,2
100043,2022-01-03,12,5
100044,2022-01-03,12,2
100045,2022-01-03,12,3
100046,2022-01-03,12,3
100047,2022-01-03,12,2
100048,2022-01-03,12,2
100049,2022-01-03,12,2
100050,2022-01-03,12,1
100051,2022-01-03,12,0
100052,2022-01-03,12,4
100053,2022-01-03,12,4
100054,2022-01-03,12,6
100055,2022-01-03,12,3
100056,2022-01-03,12,0
100057,2022-01-03,12,5
100058,2022-01-03,12,2
100059,2022-01-03,12,6
100060,2022-01-03,12,6
100061,2022-01-03,12,4
100062,2022-01-03,12,3
100063,2022-01-03,12,1
100064,2022-01-03,12,2
100065,2022-01-03,12,4
100066,2022-01-03,12,3
100067,2022-01-03,12,5
100068,2022-01-03,12,6
100069,2022-01-03,12,5
100070,2022-01-03,12,5
